run,label_idx,alpha,tp,fp,tn,fn,name
78,2,0.1,2601,91,731,301,df_ml_cc_w_demo_ip
79,0,0.1,573,273,2822,53,df_ml_cc_w_demo_ip
79,1,0.1,547,307,2809,58,df_ml_cc_w_demo_ip
79,2,0.1,2603,92,739,287,df_ml_cc_w_demo_ip
80,0,0.1,542,326,2791,62,df_ml_cc_w_demo_ip
80,1,0.1,540,293,2830,58,df_ml_cc_w_demo_ip
80,2,0.1,2646,66,730,279,df_ml_cc_w_demo_ip
81,0,0.1,533,293,2837,59,df_ml_cc_w_demo_ip
81,1,0.1,519,296,2849,58,df_ml_cc_w_demo_ip
81,2,0.1,2670,93,700,259,df_ml_cc_w_demo_ip
82,0,0.1,513,313,2803,88,df_ml_cc_w_demo_ip
82,1,0.1,529,288,2834,66,df_ml_cc_w_demo_ip
82,2,0.1,2656,66,736,259,df_ml_cc_w_demo_ip
83,0,0.1,553,285,2821,62,df_ml_cc_w_demo_ip
83,1,0.1,522,320,2822,57,df_ml_cc_w_demo_ip
83,2,0.1,2666,85,712,258,df_ml_cc_w_demo_ip
84,0,0.1,576,323,2760,54,df_ml_cc_w_demo_ip
84,1,0.1,547,324,2776,66,df_ml_cc_w_demo_ip
84,2,0.1,2645,69,753,246,df_ml_cc_w_demo_ip
85,0,0.1,567,306,2781,65,df_ml_cc_w_demo_ip
85,1,0.1,558,321,2786,54,df_ml_cc_w_demo_ip
85,2,0.1,2619,78,748,274,df_ml_cc_w_demo_ip
86,0,0.1,553,324,2797,48,df_ml_cc_w_demo_ip
86,1,0.1,519,298,2839,66,df_ml_cc_w_demo_ip
86,2,0.1,2654,84,704,280,df_ml_cc_w_demo_ip
87,0,0.1,531,287,2851,59,df_ml_cc_w_demo_ip
87,1,0.1,507,347,2814,60,df_ml_cc_w_demo_ip
87,2,0.1,2648,86,694,300,df_ml_cc_w_demo_ip
88,0,0.1,572,305,2788,54,df_ml_cc_w_demo_ip
88,1,0.1,519,320,2819,61,df_ml_cc_w_demo_ip
88,2,0.1,2580,83,732,324,df_ml_cc_w_demo_ip
89,0,0.1,563,327,2777,58,df_ml_cc_w_demo_ip
89,1,0.1,521,298,2851,55,df_ml_cc_w_demo_ip
89,2,0.1,2629,78,721,297,df_ml_cc_w_demo_ip
90,0,0.1,571,294,2797,64,df_ml_cc_w_demo_ip
90,1,0.1,527,307,2840,52,df_ml_cc_w_demo_ip
90,2,0.1,2622,69,742,293,df_ml_cc_w_demo_ip
91,0,0.1,536,283,2838,71,df_ml_cc_w_demo_ip
91,1,0.1,502,323,2850,53,df_ml_cc_w_demo_ip
91,2,0.1,2663,80,705,280,df_ml_cc_w_demo_ip
92,0,0.1,540,350,2760,68,df_ml_cc_w_demo_ip
92,1,0.1,530,335,2794,59,df_ml_cc_w_demo_ip
92,2,0.1,2598,78,734,308,df_ml_cc_w_demo_ip
93,0,0.1,526,315,2819,64,df_ml_cc_w_demo_ip
93,1,0.1,503,319,2859,43,df_ml_cc_w_demo_ip
93,2,0.1,2654,76,697,297,df_ml_cc_w_demo_ip
94,0,0.1,575,339,2750,59,df_ml_cc_w_demo_ip
94,1,0.1,553,352,2767,51,df_ml_cc_w_demo_ip
94,2,0.1,2573,77,748,325,df_ml_cc_w_demo_ip
95,0,0.1,589,322,2772,43,df_ml_cc_w_demo_ip
95,1,0.1,549,338,2786,53,df_ml_cc_w_demo_ip
95,2,0.1,2627,80,740,279,df_ml_cc_w_demo_ip
96,0,0.1,533,344,2781,67,df_ml_cc_w_demo_ip
96,1,0.1,498,337,2827,63,df_ml_cc_w_demo_ip
96,2,0.1,2653,89,692,291,df_ml_cc_w_demo_ip
97,0,0.1,576,302,2792,57,df_ml_cc_w_demo_ip
97,1,0.1,537,326,2808,56,df_ml_cc_w_demo_ip
97,2,0.1,2627,67,762,271,df_ml_cc_w_demo_ip
98,0,0.1,558,328,2775,56,df_ml_cc_w_demo_ip
98,1,0.1,536,303,2824,54,df_ml_cc_w_demo_ip
98,2,0.1,2614,72,741,290,df_ml_cc_w_demo_ip
99,0,0.1,576,302,2799,44,df_ml_cc_w_demo_ip
99,1,0.1,540,317,2814,50,df_ml_cc_w_demo_ip
99,2,0.1,2614,84,725,298,df_ml_cc_w_demo_ip
0,0,0.25,472,713,2364,177,df_ml_cc_w_demo_ip
0,1,0.25,449,773,2389,115,df_ml_cc_w_demo_ip
0,2,0.25,2171,206,589,760,df_ml_cc_w_demo_ip
1,0,0.25,436,760,2357,176,df_ml_cc_w_demo_ip
1,1,0.25,416,872,2308,133,df_ml_cc_w_demo_ip
1,2,0.25,2204,190,595,740,df_ml_cc_w_demo_ip
2,0,0.25,442,802,2323,152,df_ml_cc_w_demo_ip
2,1,0.25,417,759,2415,128,df_ml_cc_w_demo_ip
2,2,0.25,2257,183,590,689,df_ml_cc_w_demo_ip
3,0,0.25,476,704,2393,150,df_ml_cc_w_demo_ip
3,1,0.25,446,769,2360,148,df_ml_cc_w_demo_ip
3,2,0.25,2182,216,603,722,df_ml_cc_w_demo_ip
4,0,0.25,469,799,2320,138,df_ml_cc_w_demo_ip
4,1,0.25,430,803,2346,147,df_ml_cc_w_demo_ip
4,2,0.25,2255,184,602,685,df_ml_cc_w_demo_ip
5,0,0.25,454,743,2376,150,df_ml_cc_w_demo_ip
5,1,0.25,459,818,2300,146,df_ml_cc_w_demo_ip
5,2,0.25,2210,167,653,693,df_ml_cc_w_demo_ip
6,0,0.25,439,818,2311,154,df_ml_cc_w_demo_ip
6,1,0.25,447,765,2369,141,df_ml_cc_w_demo_ip
6,2,0.25,2211,207,568,736,df_ml_cc_w_demo_ip
7,0,0.25,433,719,2417,151,df_ml_cc_w_demo_ip
7,1,0.25,433,787,2346,154,df_ml_cc_w_demo_ip
7,2,0.25,2201,219,558,742,df_ml_cc_w_demo_ip
8,0,0.25,453,754,2376,141,df_ml_cc_w_demo_ip
8,1,0.25,391,789,2396,148,df_ml_cc_w_demo_ip
8,2,0.25,2230,227,543,724,df_ml_cc_w_demo_ip
9,0,0.25,437,772,2349,164,df_ml_cc_w_demo_ip
9,1,0.25,420,792,2358,152,df_ml_cc_w_demo_ip
9,2,0.25,2211,183,616,712,df_ml_cc_w_demo_ip
10,0,0.25,476,831,2276,134,df_ml_cc_w_demo_ip
10,1,0.25,448,800,2338,131,df_ml_cc_w_demo_ip
10,2,0.25,2158,191,615,753,df_ml_cc_w_demo_ip
11,0,0.25,427,829,2299,165,df_ml_cc_w_demo_ip
11,1,0.25,432,769,2400,119,df_ml_cc_w_demo_ip
11,2,0.25,2177,197,578,768,df_ml_cc_w_demo_ip
12,0,0.25,490,780,2309,137,df_ml_cc_w_demo_ip
12,1,0.25,463,812,2291,150,df_ml_cc_w_demo_ip
12,2,0.25,2181,199,637,699,df_ml_cc_w_demo_ip
13,0,0.25,493,802,2296,137,df_ml_cc_w_demo_ip
13,1,0.25,484,773,2343,128,df_ml_cc_w_demo_ip
13,2,0.25,2203,194,633,698,df_ml_cc_w_demo_ip
14,0,0.25,457,765,2366,124,df_ml_cc_w_demo_ip
14,1,0.25,414,799,2359,140,df_ml_cc_w_demo_ip
14,2,0.25,2224,158,610,720,df_ml_cc_w_demo_ip
15,0,0.25,458,846,2244,174,df_ml_cc_w_demo_ip
15,1,0.25,432,811,2329,150,df_ml_cc_w_demo_ip
15,2,0.25,2158,208,609,747,df_ml_cc_w_demo_ip
16,0,0.25,451,767,2367,137,df_ml_cc_w_demo_ip
16,1,0.25,422,779,2373,148,df_ml_cc_w_demo_ip
16,2,0.25,2200,177,608,737,df_ml_cc_w_demo_ip
17,0,0.25,461,795,2294,169,df_ml_cc_w_demo_ip
17,1,0.25,441,831,2312,135,df_ml_cc_w_demo_ip
17,2,0.25,2146,200,613,760,df_ml_cc_w_demo_ip
18,0,0.25,430,763,2371,154,df_ml_cc_w_demo_ip
18,1,0.25,414,745,2424,135,df_ml_cc_w_demo_ip
