run,label_idx,crc_TP,crc_FP,crc_TN,crc_FN,rcps_TP,rcps_FP,rcps_TN,rcps_FN,ltt_TP,ltt_FP,ltt_TN,ltt_FN,name
64,0,360,1673,1413,279,383,1781,1305,256,0,0,3086,639,df_wo_demo_025
64,1,279,1325,1788,333,293,1419,1694,319,0,0,3113,612,df_wo_demo_025
64,2,2335,642,181,567,2399,669,154,503,0,0,823,2902,df_wo_demo_025
65,0,340,1859,1244,278,374,2032,1071,244,0,0,3103,618,df_wo_demo_025
65,1,171,898,2201,451,201,1009,2090,421,0,0,3099,622,df_wo_demo_025
65,2,2267,664,170,620,2387,693,141,500,0,0,834,2887,df_wo_demo_025
66,0,293,1562,1574,293,319,1720,1416,267,0,0,3136,586,df_wo_demo_025
66,1,194,1128,2006,394,217,1220,1914,371,0,0,3134,588,df_wo_demo_025
66,2,2393,654,153,522,2477,671,136,438,0,0,807,2915,df_wo_demo_025
67,0,406,2044,1056,214,406,2044,1056,214,0,0,3100,620,df_wo_demo_025
67,1,310,1652,1458,300,310,1652,1458,300,0,0,3110,610,df_wo_demo_025
67,2,2223,641,176,680,2223,641,176,680,0,0,817,2903,df_wo_demo_025
68,0,374,1724,1365,257,400,1925,1164,231,0,0,3089,631,df_wo_demo_025
68,1,316,1692,1427,285,344,1839,1280,257,0,0,3119,601,df_wo_demo_025
68,2,2283,646,187,604,2398,689,144,489,0,0,833,2887,df_wo_demo_025
69,0,282,1267,1815,361,323,1463,1619,320,0,0,3082,643,df_wo_demo_025
69,1,205,1045,2097,378,249,1250,1892,334,0,0,3142,583,df_wo_demo_025
69,2,2195,622,201,707,2386,675,148,516,0,0,823,2902,df_wo_demo_025
70,0,257,1337,1764,354,284,1471,1630,327,0,0,3101,611,df_wo_demo_025
70,1,229,1322,1812,349,246,1409,1725,332,0,0,3134,578,df_wo_demo_025
70,2,2337,649,159,567,2451,681,127,453,0,0,808,2904,df_wo_demo_025
71,0,369,1860,1244,250,397,1979,1125,222,0,0,3104,619,df_wo_demo_025
71,1,264,1439,1715,305,287,1574,1580,282,0,0,3154,569,df_wo_demo_025
71,2,2295,640,167,621,2402,668,139,514,0,0,807,2916,df_wo_demo_025
72,0,445,2037,1029,211,488,2266,800,168,0,0,3066,656,df_wo_demo_025
72,1,235,1247,1871,369,275,1448,1670,329,0,0,3118,604,df_wo_demo_025
72,2,2107,642,199,774,2285,686,155,596,0,0,841,2881,df_wo_demo_025
73,0,378,1837,1266,242,398,1949,1154,222,0,0,3103,620,df_wo_demo_025
73,1,293,1730,1425,275,319,1846,1309,249,0,0,3155,568,df_wo_demo_025
73,2,2264,616,184,659,2341,642,158,582,0,0,800,2923,df_wo_demo_025
74,0,398,1944,1139,240,448,2144,939,190,0,0,3083,638,df_wo_demo_025
74,1,398,2164,970,189,443,2405,729,144,0,0,3134,587,df_wo_demo_025
74,2,2052,563,257,849,2226,619,201,675,0,0,820,2901,df_wo_demo_025
75,0,448,2148,953,171,448,2148,953,171,0,0,3101,619,df_wo_demo_025
75,1,303,1774,1380,263,303,1774,1380,263,0,0,3154,566,df_wo_demo_025
75,2,2142,580,216,782,2142,580,216,782,0,0,796,2924,df_wo_demo_025
76,0,347,1730,1377,266,395,1964,1143,218,0,0,3107,613,df_wo_demo_025
76,1,248,1420,1730,322,289,1630,1520,281,0,0,3150,570,df_wo_demo_025
76,2,2147,589,205,779,2317,636,158,609,0,0,794,2926,df_wo_demo_025
77,0,315,1770,1346,291,339,1900,1216,267,0,0,3116,606,df_wo_demo_025
77,1,221,1298,1847,356,252,1444,1701,325,0,0,3145,577,df_wo_demo_025
77,2,2370,658,137,557,2475,681,114,452,0,0,795,2927,df_wo_demo_025
78,0,318,1660,1449,297,334,1758,1351,281,0,0,3109,615,df_wo_demo_025
78,1,278,1447,1689,310,294,1538,1598,294,0,0,3136,588,df_wo_demo_025
78,2,2368,666,156,534,2443,694,128,459,0,0,822,2902,df_wo_demo_025
79,0,349,1679,1416,277,391,1905,1190,235,0,0,3095,626,df_wo_demo_025
79,1,277,1553,1563,328,311,1715,1401,294,0,0,3116,605,df_wo_demo_025
79,2,2222,675,156,668,2374,711,120,516,0,0,831,2890,df_wo_demo_025
80,0,350,1892,1225,254,379,1996,1121,225,0,0,3117,604,df_wo_demo_025
80,1,303,1639,1484,295,331,1769,1354,267,0,0,3123,598,df_wo_demo_025
80,2,2278,643,153,647,2367,663,133,558,0,0,796,2925,df_wo_demo_025
81,0,371,2003,1127,221,371,2003,1127,221,0,0,3130,592,df_wo_demo_025
81,1,271,1434,1711,306,271,1434,1711,306,0,0,3145,577,df_wo_demo_025
81,2,2303,630,163,626,2303,630,163,626,0,0,793,2929,df_wo_demo_025
82,0,324,1781,1335,277,324,1781,1335,277,0,0,3116,601,df_wo_demo_025
82,1,267,1300,1822,328,267,1300,1822,328,0,0,3122,595,df_wo_demo_025
82,2,2321,636,166,594,2321,636,166,594,0,0,802,2915,df_wo_demo_025
83,0,305,1494,1612,310,348,1727,1379,267,0,0,3106,615,df_wo_demo_025
83,1,237,1248,1894,342,292,1493,1649,287,0,0,3142,579,df_wo_demo_025
83,2,2249,615,182,675,2385,654,143,539,0,0,797,2924,df_wo_demo_025
84,0,385,1831,1252,245,420,2031,1052,210,0,0,3083,630,df_wo_demo_025
84,1,234,1148,1952,379,265,1355,1745,348,0,0,3100,613,df_wo_demo_025
84,2,2273,642,180,618,2437,696,126,454,0,0,822,2891,df_wo_demo_025
85,0,309,1593,1494,323,352,1815,1272,280,0,0,3087,632,df_wo_demo_025
85,1,189,932,2175,423,221,1093,2014,391,0,0,3107,612,df_wo_demo_025
85,2,2332,658,168,561,2488,715,111,405,0,0,826,2893,df_wo_demo_025
86,0,331,1594,1527,270,358,1756,1365,243,0,0,3121,601,df_wo_demo_025
86,1,297,1492,1645,288,327,1660,1477,258,0,0,3137,585,df_wo_demo_025
86,2,2394,637,151,540,2485,665,123,449,0,0,788,2934,df_wo_demo_025
87,0,275,1561,1577,315,295,1642,1496,295,0,0,3138,590,df_wo_demo_025
87,1,256,1466,1695,311,263,1539,1622,304,0,0,3161,567,df_wo_demo_025
87,2,2427,636,144,521,2477,646,134,471,0,0,780,2948,df_wo_demo_025
88,0,343,1706,1387,283,367,1838,1255,259,0,0,3093,626,df_wo_demo_025
88,1,281,1549,1590,299,303,1688,1451,277,0,0,3139,580,df_wo_demo_025
88,2,2378,663,152,526,2454,690,125,450,0,0,815,2904,df_wo_demo_025
89,0,388,1949,1155,233,388,1949,1155,233,0,0,3104,621,df_wo_demo_025
89,1,251,1377,1772,325,251,1377,1772,325,0,0,3149,576,df_wo_demo_025
89,2,2204,589,210,722,2204,589,210,722,0,0,799,2926,df_wo_demo_025
90,0,396,1932,1159,239,396,1932,1159,239,0,0,3091,635,df_wo_demo_025
90,1,378,1983,1164,201,378,1983,1164,201,0,0,3147,579,df_wo_demo_025
90,2,2220,622,189,695,2220,622,189,695,0,0,811,2915,df_wo_demo_025
91,0,342,1705,1416,265,342,1705,1416,265,0,0,3121,607,df_wo_demo_025
91,1,263,1558,1615,292,263,1558,1615,292,0,0,3173,555,df_wo_demo_025
91,2,2359,609,176,584,2359,609,176,584,0,0,785,2943,df_wo_demo_025
92,0,300,1523,1587,308,300,1523,1587,308,0,0,3110,608,df_wo_demo_025
92,1,238,1306,1823,351,238,1306,1823,351,0,0,3129,589,df_wo_demo_025
92,2,2308,653,159,598,2308,653,159,598,0,0,812,2906,df_wo_demo_025
93,0,337,1708,1426,253,373,1932,1202,217,0,0,3134,590,df_wo_demo_025
93,1,197,1085,2093,349,237,1327,1851,309,0,0,3178,546,df_wo_demo_025
93,2,2399,623,150,552,2516,659,114,435,0,0,773,2951,df_wo_demo_025
94,0,329,1670,1419,305,374,1879,1210,260,0,0,3089,634,df_wo_demo_025
94,1,218,1241,1878,386,250,1360,1759,354,0,0,3119,604,df_wo_demo_025
